"Question 1: On a clear day you chance upon a strange animal, its leg trapped in a hunter's clawsnare. Judging from the bleeding it will not survive long";"test";"wrong";"Draw your dagger, mercifully ending its life with a single thrust";"correct";"Use herbs from your pack to put it to sleep";"wrong";"Do not interfere in the natural evolution of events, but rather take the opportunity to learn more about a strange animal you have never seen before"

"Question 2: One Summer afternoon your father gives you a choice of chores";"test";"wrong";"Work in the forge with him casting iron for a new plow";"correct";"Gather herbs for your mother who is preparing dinner";"wrong";"Go catch fish at the stream using a net and line"

"Question 3: Your cousin has given you a very embarrassing nickname and, even worse, likes to call you it in front of your friends. You asked him to stop, but he finds it very amusing to watch you blush";"test";"wrong";"Beat up your cousin, then tell him that if he ever calls you that nickname again, you will bloody him worse than this time";"correct";"Make up a story that makes your nickname a badge of honor instead of something humiliating";"wrong";"Make up an even more embarrassing nickname for him and use it constantly until he learns his lesson"

"Question 4: There is a lot of heated discussion at the local tavern over a group of people called 'Telepaths'. They have been hired by certain City-State kings. Rumor has it these Telepaths read a person's mind and tell their lord whether a follower is telling the truth or not";"test";"wrong";"This is a terrible practice. A person's thoughts are his own and no one, not even a king, has the right to make such an invasion into another human's mind";"correct";"Loyal followers to the king have nothing to fear from a Telepath. It is important to have a method of finding assassins and spies before it is too late";"wrong";"In these times, it is a necessary evil. Although you do not necessarily like the idea, a Telepath could have certain advantages during a time of war or in finding someone innocent of a crime"

"Where do you see yourself in 5 years";"free"






















